Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-]
4,110,0.13,190,0.92
4.5,350,0.3,232,0.88
5,600,0.37,273,0.85
5.5,850,0.39,324,0.83
6,1140,0.41,381,0.82
6.5,1490,0.42,440,0.81
7,1900,0.43,505,0.8
7.5,2370,0.43,573,0.79
8,2900,0.44,648,0.78
8.5,3500,0.44,723,0.77
9,4155,0.44,800,0.76
9.5,4870,0.44,876,0.75
10,5630,0.44,945,0.73
10.5,6420,0.43,1014,0.71
11,7150,0.42,1052,0.67
11.5,7610,0.39,1028,0.6
12,7865,0.35,972,0.52
12.5,7940,0.31,905,0.45
13,7970,0.28,847,0.39
13.5,8000,0.25,801,0.34
14,8000,0.23,765,0.3
14.5,8000,0.2,730,0.27
15,8000,0.18,700,0.24
15.5,8000,0.17,668,0.22
16,8000,0.15,644,0.19
16.5,8000,0.14,624,0.18
17,8000,0.13,604,0.16
17.5,8000,0.12,587,0.15
18,8000,0.11,571,0.14
18.5,8000,0.1,557,0.13
19,8000,0.09,542,0.12
19.5,8000,0.08,528,0.11
20,8000,0.08,516,0.1
20.5,8000,0.07,505,0.09
21,8000,0.07,497,0.09
21.5,8000,0.06,486,0.08
22,8000,0.06,476,0.08
22.5,8000,0.05,472,0.07
23,8000,0.05,461,0.07
23.5,8000,0.05,454,0.06
24,8000,0.04,445,0.06
24.5,8000,0.04,442,0.06
25,8000,0.04,437,0.05
