Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-]
3,40.52,0.208546508,77.66,1.132034888
4,177.67,0.385795061,121.90,0.999470963
5,403.9,0.449038264,174.88,0.917697381
6,737.59,0.474546985,236.23,0.860849503
7,1187.18,0.480994449,304.55,0.815371198
7.1,1239.25,0.481172749,311.87,0.811614904
7.2,1292.52,0.481235678,319.27,0.807939328
7.3,1347.32,0.481305875,326.77,0.80443352
7.4,1403.26,0.481238912,334.35,0.800993851
7.5,1460.7,0.481167356,342.03,0.79768116
7.6,1519.64,0.481081935,349.82,0.794529244
7.7,1580.17,0.481007003,357.72,0.791495834
7.8,1642.11,0.480880409,365.71,0.788560434
7.9,1705.76,0.480789285,374.51,0.787217182
8,1771.17,0.480737341,384.00,0.787127977
9,2518.55,0.480111543,485.21,0.785839257
10,3448.38,0.479218839,597.48,0.783812219
10.1,3552.14,0.479120347,609.30,0.783568108
10.2,3657.95,0.479022984,621.23,0.783328285
10.3,3765.12,0.478834971,631.75,0.781194418
10.4,3873.93,0.478597234,640.86,0.777292539
10.5,3984.48,0.478324162,650.02,0.773464375
10.6,4096.58,0.477994289,659.23,0.769690236
10.7,4210.72,0.477665338,668.51,0.766001924
10.8,4326.15,0.477253698,677.81,0.762348072
10.9,4443.4,0.476819542,687.17,0.758760824
11,4562.5,0.476368667,696.60,0.755242872
11.1,4683.42,0.475896732,706.08,0.751792927
11.2,4806.16,0.475404347,715.65,0.748434131
11.3,4929.93,0.474814698,725.25,0.745113997
11.4,5000.92,0.469087611,711.09,0.717806682
11.5,5000.16,0.456886723,677.65,0.672204789
11.6,4999.98,0.445156758,654.72,0.63831272
11.7,4999.96,0.433837552,636.70,0.610176496
11.8,4999.98,0.422902868,621.40,0.585456847
11.9,5000,0.412332387,607.97,0.563222111
12,5000,0.402110045,595.94,0.542912273
13,5000.01,0.316270768,514.41,0.399312061
14,5000.01,0.253224057,463.93,0.310517829
15,5000.02,0.205881042,426.43,0.248633226
16,5000,0.169640239,397.20,0.203543725
17,5000.02,0.141430529,373.66,0.169616419
18,5000.03,0.119144335,354.36,0.143478955
19,5000.02,0.101304591,338.30,0.122938861
20,5000.04,0.086856409,324.77,0.106515296
21,5000.02,0.075029591,312.72,0.093026095
22,5000.05,0.065256635,301.23,0.081648606
23,5000.01,0.057109143,291.13,0.072197368
24,5000,0.050263779,282.71,0.064388275
25,5000.04,0.044470536,275.29,0.057782745
