Wind Speed [m/s],Power [kW],Cp [-]
3,0,0
3.25,168,0.254333304
3.5,235,0.284844451
3.75,312,0.307471471
4,400,0.324806006
4.25,500,0.338491096
4.5,612,0.349026109
4.75,738,0.357865282
5,877,0.36461423
5.25,1031,0.37027534
5.5,1200,0.374832476
5.75,1386,0.378881788
6,1588,0.382068102
6.25,1808,0.384859675
6.5,2047,0.387366275
6.75,2304,0.389327598
7,2581,0.391055068
7.25,2879,0.392619332
7.5,3198,0.393947822
7.75,3539,0.395111335
8,3902,0.396060324
8.25,4289,0.39695222
8.5,4701,0.39781166
8.75,5137,0.398501023
9,5598,0.399070293
9.25,6087,0.399688946
9.5,6602,0.40017388
9.75,7000,0.392489667
10,7000,0.363782727
10.25,7000,0.337808426
10.5,7000,0.314249197
10.75,7000,0.292830751
11,7000,0.273315347
11.25,7000,0.255496236
11.5,7000,0.239193048
11.75,7000,0.224247946
12,7000,0.210522411
12.25,7000,0.197894538
12.5,7000,0.186256756
12.75,7000,0.175513901
13,7000,0.165581578
13.25,7000,0.156384764
13.5,7000,0.147856618
13.75,7000,0.139937458
14,7000,0.13257388
14.25,7000,0.125718005
14.5,7000,0.11932682
14.75,7000,0.113361612
15,7000,0.107787475
15.25,7000,0.102572878
15.5,7000,0.097689296
15.75,7000,0.093110873
16,7000,0.088814142
16.25,7000,0.084777768
16.5,7000,0.080982325
16.75,7000,0.077410102
17,7000,0.074044927
17.25,7000,0.070872014
17.5,7000,0.067877827
17.75,7000,0.065049955
18,7000,0.062377011
18.25,7000,0.059848527
18.5,7000,0.057454876
18.75,7000,0.055187187
19,7000,0.053037283
19.25,7000,0.050997616
19.5,7000,0.049061208
19.75,7000,0.047221608
20,7000,0.045472841
20.25,7000,0.043809368
20.5,7000,0.042226053
20.75,7000,0.040718125
21,7000,0.03928115
21.25,7000,0.037911003
21.5,7000,0.036603844
21.75,7000,0.035356095
22,7000,0.034164418
22.25,7000,0.0330257
22.5,7000,0.03193703
22.75,7000,0.030895688
23,7000,0.029899131
23.25,7000,0.028944977
23.5,7000,0.028030993
23.75,7000,0.027155089
24,7000,0.026315301
24.25,7000,0.025509788
24.5,7000,0.024736817
24.75,7000,0.023994763
25,0,0
